Id,Neighborhood,LotFrontage,LotArea,number of bedrooms,Street,Alley,OverallQual,OverallCond,Date,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,SquareFootage,Heating,HeatingQC,SaleType,SaleCondition,Price
205,RM,50,3500,3,Pave,Grvl,5,7,1947,TA,No,LwQ,312,Unf,0,408,720,GasA,TA,WD,Normal,110000
206,RL,99,11851,3,Pave,NA,7,5,1990,TA,No,Unf,0,Unf,0,1424,1424,GasA,Ex,WD,Normal,180500
207,RL,40,13673,5,Pave,NA,5,5,1962,TA,No,Unf,0,Unf,0,1140,1140,GasA,TA,WD,Normal,143900
208,RL,NA,12493,3,Pave,NA,4,5,1960,TA,No,ALQ,419,Rec,306,375,1100,GasA,TA,WD,Normal,141000
209,RL,NA,14364,2,Pave,NA,7,5,1988,TA,Gd,GLQ,1065,Unf,0,92,1157,GasA,Ex,WD,Normal,277000
210,RL,75,8250,3,Pave,NA,6,7,1964,TA,No,Rec,787,Unf,0,305,1092,GasA,Ex,WD,Normal,145000
211,RL,67,5604,3,Pave,NA,5,6,1925,TA,No,Rec,468,Unf,0,396,864,GasA,TA,WD,Normal,98000
212,RL,83,10420,3,Pave,NA,6,5,2009,TA,Mn,GLQ,36,Unf,0,1176,1212,GasA,Ex,WD,Normal,186000
213,FV,72,8640,4,Pave,NA,7,5,2009,TA,No,GLQ,822,Unf,0,78,900,GasA,Ex,New,Partial,252678
214,RL,43,13568,3,Pave,NA,5,5,1995,TA,No,ALQ,716,Unf,0,274,990,GasA,Ex,WD,Normal,156000
215,RL,NA,10900,2,Pave,NA,6,7,1977,TA,No,GLQ,378,Unf,0,311,689,GasA,Ex,WD,Normal,161750
216,RL,72,10011,1,Pave,NA,5,6,1957,TA,No,BLQ,360,Unf,0,710,1070,GasA,TA,WD,Normal,134450
217,RL,65,8450,2,Pave,NA,7,5,2004,TA,Mn,GLQ,946,Unf,0,490,1436,GasA,Ex,WD,Normal,210000
218,RM,57,9906,2,Pave,Grvl,4,4,1925,TA,No,Unf,0,Unf,0,686,686,GasA,Fa,WD,Family,107000
219,RL,NA,15660,3,Pave,NA,7,9,1939,TA,No,BLQ,341,Unf,0,457,798,GasA,Ex,WD,Normal,311500
220,RL,43,3010,2,Pave,NA,7,5,2005,TA,Av,GLQ,16,Unf,0,1232,1248,GasA,Ex,New,Partial,167240
221,RL,73,8990,2,Pave,NA,7,5,2006,TA,Mn,Unf,0,Unf,0,1498,1498,GasA,Ex,New,Partial,204900
222,RL,NA,8068,3,Pave,NA,6,5,2002,TA,No,Unf,0,Unf,0,1010,1010,GasA,Ex,ConLI,Normal,200000
223,RL,85,11475,2,Pave,NA,6,6,1975,TA,No,ALQ,550,Unf,0,163,713,GasA,TA,WD,Normal,179900
224,RL,70,10500,3,Pave,NA,4,6,1971,TA,No,ALQ,524,LwQ,180,160,864,GasA,Gd,WD,Abnorml,97000
225,RL,103,13472,3,Pave,NA,10,5,2003,TA,Gd,GLQ,56,Unf,0,2336,2392,GasA,Ex,WD,Normal,386250
226,RM,21,1680,2,Pave,NA,5,5,1971,TA,No,Unf,0,Unf,0,630,630,GasA,TA,COD,Abnorml,112000
227,RL,82,9950,3,Pave,NA,7,5,1995,TA,No,GLQ,565,Unf,0,638,1203,GasA,Ex,WD,Abnorml,290000
228,RM,21,1869,3,Pave,NA,6,6,1970,TA,No,Rec,321,Unf,0,162,483,GasA,TA,WD,Normal,106000
229,RL,70,8521,3,Pave,NA,5,5,1967,TA,No,ALQ,842,Unf,0,70,912,GasA,TA,WD,Normal,125000
230,RL,43,3182,3,Pave,NA,7,5,2005,TA,Av,GLQ,16,Unf,0,1357,1373,GasA,Ex,WD,Normal,192500
231,RL,73,,3,Pave,NA,6,6,1959,TA,No,Unf,0,Unf,0,1194,1194,GasA,TA,WD,Normal,148000
232,RL,174,15138,4,Pave,NA,8,5,1995,TA,No,GLQ,689,Unf,0,773,1462,GasA,Ex,WD,Normal,403000
233,RM,21,1680,3,Pave,NA,6,5,1972,TA,No,Unf,0,Unf,0,483,483,GasA,TA,WD,Normal,94500
234,RL,75,10650,3,Pave,NA,5,6,1976,Gd,Av,LwQ,182,ALQ,712,0,894,GasA,TA,WD,Normal,128200
235,RL,NA,,3,Pave,NA,6,5,2002,TA,No,GLQ,625,Unf,0,235,860,GasA,Ex,WD,Normal,216500
236,RM,21,1680,4,Pave,NA,6,3,1971,TA,No,ALQ,358,Unf,0,125,483,GasA,TA,WD,Normal,89500
237,RL,65,8773,3,Pave,NA,7,5,2004,TA,Av,GLQ,24,Unf,0,1390,1414,GasA,Ex,WD,Normal,185500
238,RL,NA,9453,4,Pave,NA,7,7,1993,TA,No,BLQ,402,Unf,0,594,996,GasA,Ex,WD,Normal,194500
239,RL,93,12030,3,Pave,NA,8,5,2007,TA,No,Unf,0,Unf,0,1694,1694,GasA,Ex,New,Partial,318000
240,RL,52,8741,3,Pave,NA,6,4,1945,Fa,No,LwQ,94,Unf,0,641,735,GasA,TA,WD,Normal,113000
241,FV,75,9000,3,Pave,NA,8,5,2008,TA,Av,GLQ,1078,Unf,0,488,1566,GasA,Ex,WD,Normal,262500
242,RM,40,3880,3,Pave,NA,5,9,1945,TA,No,ALQ,329,Unf,0,357,686,GasA,Gd,WD,Normal,110500
243,RM,63,5000,3,Pave,NA,5,4,1900,TA,No,Unf,0,Unf,0,540,540,GasA,Gd,WD,Normal,79000
244,RL,75,10762,3,Pave,NA,6,6,1980,TA,No,Unf,0,Unf,0,626,626,GasA,TA,WD,Normal,120000
245,RL,NA,8880,3,Pave,NA,7,5,1994,TA,No,GLQ,695,Unf,0,253,948,GasA,Ex,WD,Normal,205000
246,RL,80,10400,2,Pave,NA,7,5,1988,TA,Av,GLQ,929,Unf,0,916,1845,GasA,Gd,WD,Normal,241500
247,RM,69,9142,3,Pave,Grvl,6,8,1910,TA,No,Unf,0,Unf,0,1020,1020,GasA,Gd,WD,Normal,137000
248,RL,75,11310,3,Pave,NA,6,5,1954,TA,No,Unf,0,Unf,0,1367,1367,GasA,Ex,WD,Normal,140000
249,RL,72,11317,3,Pave,NA,7,5,2003,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,WD,Normal,180000
250,RL,NA,159000,2,Pave,NA,6,7,1958,TA,Gd,Rec,697,Unf,0,747,1444,GasA,Gd,WD,Normal,277000
251,RL,55,5350,3,Pave,NA,3,2,1940,TA,No,Unf,0,Unf,0,728,728,GasA,Ex,WD,Normal,76500
252,RM,44,4750,3,Pave,NA,8,5,2006,TA,Gd,GLQ,1573,Unf,0,0,1573,GasA,Ex,WD,Family,235000
253,RL,65,8366,3,Pave,NA,6,5,2004,TA,No,Unf,0,Unf,0,798,798,GasA,Ex,WD,Normal,173000
254,RL,85,9350,3,Pave,NA,6,7,1964,TA,Gd,LwQ,270,ALQ,580,452,1302,GasA,Ex,CWD,Normal,158000
255,RL,70,8400,3,Pave,NA,5,6,1957,TA,No,Rec,922,Unf,0,392,1314,GasA,TA,WD,Normal,145000
256,RL,66,8738,3,Pave,NA,7,5,1999,TA,No,Unf,0,Unf,0,975,975,GasA,Ex,WD,Normal,230000
257,FV,64,8791,3,Pave,NA,6,5,2003,TA,No,Rec,503,Unf,0,361,864,GasA,Ex,WD,Normal,207500
258,RL,68,8814,3,Pave,NA,7,5,2006,TA,No,GLQ,1334,Unf,0,270,1604,GasA,Ex,WD,Abnorml,220000
259,RL,80,12435,3,Pave,NA,7,5,2001,TA,No,GLQ,361,Unf,0,602,963,GasA,Ex,WD,Normal,231500
260,RM,70,12702,3,Pave,NA,5,5,1956,NA,NA,NA,0,NA,0,0,0,GasA,Gd,WD,Normal,97000
261,RL,120,19296,3,Pave,NA,6,5,1962,TA,Gd,Rec,672,ALQ,690,0,1362,GasA,TA,WD,Normal,176000
262,RL,69,9588,3,Pave,NA,8,5,2007,TA,No,Unf,0,Unf,0,1482,1482,GasA,Ex,New,Partial,276000
263,RL,88,8471,3,Pave,NA,6,7,1977,Gd,Av,ALQ,506,Unf,0,0,506,GasA,TA,WD,Normal,151000
264,RM,50,5500,2,Pave,NA,5,7,1929,TA,No,LwQ,234,ALQ,692,0,926,GasA,TA,WD,Normal,130000
265,RM,30,5232,4,Pave,Grvl,5,5,1925,TA,No,Unf,0,Unf,0,680,680,GasA,Gd,WD,Normal,73000
266,RL,78,12090,3,Pave,NA,6,6,1981,TA,No,GLQ,588,LwQ,228,606,1422,GasA,TA,WD,Normal,175500
267,RL,70,11207,2,Pave,NA,6,5,1997,TA,Av,GLQ,714,Unf,0,88,802,GasA,Gd,WD,Normal,185000
268,RL,60,8400,3,Pave,NA,5,8,1939,TA,No,LwQ,378,Unf,0,342,720,GasA,Ex,WD,Normal,179500
269,RM,71,6900,3,Pave,NA,5,6,1940,TA,No,ALQ,403,Rec,125,212,740,GasA,Ex,WD,Normal,120500
270,RL,NA,7917,4,Pave,NA,6,7,1976,Gd,No,BLQ,751,Unf,0,392,1143,GasA,TA,WD,Normal,148000
271,FV,84,10728,3,Pave,NA,8,5,2006,TA,Mn,Unf,0,Unf,0,1095,1095,GasA,Gd,New,Partial,266000
272,RL,73,39104,3,Pave,NA,7,7,1954,TA,Gd,LwQ,226,GLQ,1063,96,1385,GasA,Ex,WD,Normal,241500
273,RL,92,11764,2,Pave,NA,8,7,1999,TA,No,GLQ,524,Unf,0,628,1152,GasA,Ex,WD,Normal,290000
274,RL,80,9600,3,Pave,NA,6,6,1958,TA,No,Rec,620,LwQ,620,0,1240,GasA,Gd,WD,Normal,139000
275,RL,76,8314,3,Pave,NA,5,7,1982,TA,Gd,ALQ,546,Unf,0,270,816,GasA,TA,WD,Normal,124500
276,RL,55,7264,3,Pave,NA,7,7,1925,TA,No,Unf,0,Unf,0,952,952,GasW,Gd,WD,Normal,205000
277,RL,129,9196,2,Pave,NA,7,5,2003,TA,No,Unf,0,Unf,0,1560,1560,GasA,Ex,WD,Normal,201000
278,RL,140,19138,3,Pave,NA,4,5,1951,TA,No,LwQ,120,Unf,0,744,864,GasA,Ex,WD,Normal,141000
279,RL,107,14450,3,Pave,NA,9,5,2006,TA,Gd,Unf,0,Unf,0,2121,2121,GasA,Ex,New,Partial,415298
280,RL,83,10005,2,Pave,NA,7,5,1977,TA,No,BLQ,392,Unf,0,768,1160,GasA,Ex,WD,Normal,192000
281,RL,82,11287,1,Pave,NA,7,6,1989,TA,Av,GLQ,421,Unf,0,386,807,GasA,Gd,WD,Normal,228500
282,FV,60,7200,2,Pave,Pave,6,5,2006,TA,No,GLQ,905,Unf,0,357,1262,GasA,Gd,New,Partial,185000
283,RL,34,5063,3,Pave,NA,7,5,2007,TA,No,GLQ,904,Unf,0,410,1314,GasA,Ex,ConLw,Normal,207500
284,RL,74,9612,2,Pave,NA,8,5,2008,TA,No,Unf,0,Unf,0,1468,1468,GasA,Ex,New,Partial,244600
285,RL,50,,2,Pave,NA,6,5,1992,TA,No,GLQ,430,Unf,0,1145,1575,GasA,Gd,WD,Normal,179200
286,FV,35,4251,4,Pave,Pave,7,5,2006,TA,No,Unf,0,Unf,0,625,625,GasA,Ex,New,Partial,164700
287,RL,77,9786,3,Pave,NA,6,7,1962,TA,No,Rec,600,Unf,0,312,912,GasA,TA,WD,Normal,159000
288,RL,NA,8125,5,Pave,NA,4,4,1971,TA,No,BLQ,614,Unf,0,244,858,GasA,TA,WD,Normal,88000
289,RL,NA,9819,3,Pave,NA,5,5,1967,TA,No,BLQ,450,Unf,0,432,882,GasA,TA,WD,Normal,122000
290,RL,60,8730,3,Pave,NA,6,7,1915,TA,No,Unf,0,Unf,0,698,698,GasA,Ex,WD,Normal,153575
291,RL,120,15611,4,Pave,NA,8,5,2006,TA,Av,Unf,0,Unf,0,1079,1079,GasA,Ex,New,Partial,233230
292,RL,55,5687,2,Pave,Grvl,5,6,1912,Fa,No,Rec,210,Unf,0,570,780,GasA,Ex,WD,Normal,135900
293,RL,60,11409,3,Pave,NA,5,4,1949,TA,No,LwQ,292,Unf,0,476,768,GasA,Gd,WD,Normal,131000
294,RL,NA,16659,4,Pave,NA,7,7,1977,TA,No,ALQ,795,Unf,0,0,795,GasA,Fa,WD,Normal,235000
295,RL,80,9600,3,Pave,NA,6,5,1953,TA,No,GLQ,1285,Unf,0,131,1416,GasA,TA,WD,Normal,167000
296,RL,37,7937,2,Pave,NA,6,6,1984,TA,Av,GLQ,819,Unf,0,184,1003,GasA,TA,WD,Normal,142500
297,RM,75,13710,3,Pave,NA,5,5,1950,TA,No,BLQ,420,Unf,0,490,910,GasA,TA,WD,Normal,152000
298,FV,66,7399,3,Pave,Pave,7,5,1997,TA,No,BLQ,649,Unf,0,326,975,GasA,Ex,WD,Normal,239000
299,RL,90,11700,3,Pave,NA,6,6,1968,TA,No,ALQ,384,Rec,175,143,702,GasA,Gd,WD,Normal,175000
300,RL,80,14000,3,Pave,NA,6,8,1950,TA,No,Unf,0,Unf,0,1092,1092,GasA,Ex,WD,Family,158500
301,RL,90,15750,3,Pave,NA,5,5,1953,TA,Mn,BLQ,841,Unf,0,324,1165,GasA,TA,WD,Normal,157000
302,RL,66,16226,4,Pave,NA,8,5,1998,TA,No,GLQ,281,Unf,0,747,1028,GasA,Ex,WD,Normal,267000
303,RL,118,13704,4,Pave,NA,7,5,2001,TA,No,Unf,0,Unf,0,1541,1541,GasA,Ex,WD,Normal,205000
304,RL,70,9800,2,Pave,NA,5,7,1972,TA,No,ALQ,894,Unf,0,0,894,GasA,TA,WD,Abnorml,149900
305,RM,87,18386,2,Pave,NA,7,9,1880,TA,No,Unf,0,Unf,0,1470,1470,GasA,Ex,WD,Normal,295000
306,RL,80,10386,3,Pave,NA,8,5,2004,TA,No,GLQ,1464,Unf,0,536,2000,GasA,Ex,WD,Normal,305900
307,RL,116,13474,2,Pave,NA,7,5,1990,TA,No,ALQ,700,Unf,0,0,700,GasA,Gd,WD,Normal,225000
308,RM,NA,7920,3,Pave,Grvl,6,7,1920,TA,No,Unf,0,Unf,0,319,319,GasA,TA,WD,Normal,89500
309,RL,NA,12342,3,Pave,NA,4,5,1940,TA,No,BLQ,262,Unf,0,599,861,GasA,Ex,WD,Normal,82500
310,RL,90,12378,3,Pave,NA,9,5,2003,TA,Gd,GLQ,1274,Unf,0,622,1896,GasA,Ex,WD,Normal,360000
311,RL,NA,7685,3,Pave,NA,6,5,1993,TA,No,ALQ,518,Unf,0,179,697,GasA,Gd,WD,Normal,165600
312,RL,50,8000,3,Pave,NA,6,6,1948,TA,No,ALQ,680,Unf,0,292,972,GasA,Ex,WD,Normal,132000
313,RM,65,7800,3,Pave,NA,5,7,1939,TA,Mn,Rec,507,Unf,0,286,793,GasA,TA,WD,Normal,119900
314,RL,150,215245,4,Pave,NA,7,5,1965,TA,Gd,ALQ,1236,Rec,820,80,2136,GasW,TA,WD,Normal,375000
315,RM,60,9600,3,Pave,Grvl,7,7,1925,Gd,No,LwQ,16,Unf,0,712,728,GasA,Ex,WD,Normal,178000
316,RL,71,7795,2,Pave,NA,7,5,2004,TA,No,GLQ,425,Unf,0,291,716,GasA,Ex,WD,Normal,188500
317,RL,94,13005,2,Pave,NA,7,7,1980,TA,No,GLQ,692,Unf,0,153,845,GasA,TA,WD,Normal,260000
318,FV,75,9000,2,Pave,NA,8,5,2006,TA,Av,Unf,0,Unf,0,1088,1088,GasA,Ex,WD,Normal,270000
319,RL,90,9900,2,Pave,NA,7,5,1993,TA,Gd,GLQ,987,Unf,0,360,1347,GasA,Ex,WD,Normal,260000
320,RL,NA,14115,3,Pave,NA,7,5,1980,TA,Av,GLQ,1036,Unf,0,336,1372,GasA,TA,WD,Normal,187500
321,RL,111,16259,3,Pave,NA,9,5,2006,Gd,Av,Unf,0,Unf,0,1249,1249,GasA,Ex,New,Partial,342643
322,RL,99,12099,2,Pave,NA,8,5,2004,TA,Av,GLQ,970,Unf,0,166,1136,GasA,Ex,WD,Normal,354000
323,RL,86,10380,4,Pave,NA,7,5,1986,TA,Gd,LwQ,28,ALQ,1474,0,1502,GasA,Ex,WD,Normal,301000
324,RM,49,5820,2,Pave,NA,3,8,1955,TA,No,ALQ,256,Unf,0,906,1162,GasA,Ex,WD,Normal,126175
325,RL,96,11275,3,Pave,NA,7,7,1967,TA,No,Unf,0,Unf,0,710,710,GasA,Ex,WD,Normal,242000
326,RM,50,5000,3,Pave,NA,5,6,1941,TA,Av,BLQ,116,Unf,0,604,720,GasA,Po,WD,Normal,87000
327,RL,32,10846,4,Pave,NA,8,5,1993,TA,Gd,GLQ,1619,Unf,0,100,1719,GasA,Ex,Con,Normal,324000
328,RL,80,11600,2,Pave,NA,6,5,1960,TA,No,Rec,565,Unf,0,818,1383,GasA,TA,WD,Normal,145250
329,RL,NA,,2,Pave,Pave,6,6,1916,TA,No,Unf,0,Unf,0,844,844,GasA,Gd,WD,Normal,214500
330,RM,60,6402,1,Pave,NA,5,5,1920,TA,Mn,Unf,0,Unf,0,596,596,GasA,TA,WD,Normal,78000
331,RL,NA,10624,6,Pave,NA,5,4,1964,TA,No,GLQ,40,Rec,264,1424,1728,GasA,TA,WD,Normal,119000
332,RL,70,8176,3,Pave,NA,5,6,1958,TA,No,Rec,846,Unf,0,210,1056,GasA,Fa,WD,Normal,139000
333,RL,85,10655,3,Pave,NA,8,5,2003,TA,No,GLQ,1124,NA,479,1603,3206,GasA,Ex,WD,Normal,284000
334,RM,59,8198,2,Pave,NA,7,5,2004,TA,Av,GLQ,720,Unf,0,638,1358,GasA,Ex,WD,Normal,207000
335,RL,59,9042,3,Pave,NA,6,5,1998,TA,Gd,GLQ,828,Unf,0,115,943,GasA,Gd,WD,Normal,192000
336,RL,NA,164660,2,Grvl,NA,5,6,1965,TA,Gd,ALQ,1249,BLQ,147,103,1499,GasA,Ex,WD,Normal,228950
337,RL,86,14157,3,Pave,NA,9,5,2005,TA,Gd,GLQ,1249,Unf,0,673,1922,GasA,Ex,WD,Normal,377426
338,RL,70,9135,3,Pave,NA,7,5,2002,TA,Av,GLQ,810,Unf,0,726,1536,GasA,Ex,WD,Normal,214000
339,RL,91,14145,2,Pave,NA,7,7,1984,TA,Mn,ALQ,213,Unf,0,995,1208,GasA,Ex,WD,Normal,202500
340,RL,66,12400,3,Pave,NA,6,7,1958,Fa,No,Rec,585,Unf,0,630,1215,GasA,TA,WD,Normal,155000
341,RL,85,14191,4,Pave,NA,8,5,2002,TA,No,Unf,0,Unf,0,967,967,GasA,Ex,WD,Normal,202900
342,RH,60,8400,3,Pave,NA,4,4,1950,Fa,No,Unf,0,Unf,0,721,721,GasA,Gd,WD,Normal,82000
343,RL,NA,8544,4,Pave,NA,3,4,1949,NA,NA,NA,0,NA,0,0,0,Wall,Fa,WD,Normal,87500
344,RL,63,8849,2,Pave,NA,9,5,2005,TA,No,GLQ,28,Unf,0,1656,1684,GasA,Ex,WD,Normal,266000
345,RM,36,2592,3,Pave,NA,5,3,1976,TA,No,Rec,129,BLQ,232,175,536,GasA,TA,WD,Normal,85000
346,RL,65,6435,3,Pave,NA,6,5,1939,TA,No,Unf,0,Unf,0,972,972,GasA,Gd,WD,Normal,140200
347,RL,NA,12772,4,Pave,NA,6,8,1960,TA,Mn,BLQ,498,Unf,0,460,958,GasA,TA,WD,Normal,151500
348,RL,NA,17600,3,Pave,NA,6,5,1960,TA,No,BLQ,1270,Unf,0,208,1478,GasA,Ex,WD,Normal,157500
349,RL,36,2448,3,Pave,NA,7,5,2003,TA,No,GLQ,573,Unf,0,191,764,GasA,Ex,WD,Normal,154000
350,RL,56,20431,3,Pave,NA,9,5,2005,TA,No,GLQ,1410,Unf,0,438,1848,GasA,Ex,New,Partial,437154
351,RL,68,7820,4,Pave,NA,9,5,2007,TA,No,Unf,0,Unf,0,1869,1869,GasA,Ex,New,Partial,318061
352,RL,NA,5271,3,Pave,NA,7,5,1986,TA,Gd,GLQ,1082,Unf,0,371,1453,GasA,Gd,WD,Abnorml,190000
353,RL,60,9084,3,Pave,NA,5,6,1941,Fa,Mn,LwQ,236,Rec,380,0,616,GasA,TA,ConLw,Normal,95000
354,RM,60,8520,2,Pave,NA,6,8,1928,TA,No,Unf,0,Unf,0,624,624,GasA,Gd,WD,Normal,105900
355,RL,60,8400,1,Pave,NA,6,5,1940,TA,No,LwQ,388,Unf,0,552,940,GasA,Ex,WD,Normal,140000
356,RL,105,11249,2,Pave,NA,6,5,1995,Gd,No,ALQ,334,BLQ,544,322,1200,GasA,Ex,WD,Normal,177500
357,RL,NA,9248,3,Pave,NA,6,6,1992,TA,No,GLQ,560,Unf,0,598,1158,GasA,Gd,WD,Normal,173000
358,RM,44,4224,3,Pave,NA,5,5,1976,TA,No,ALQ,874,Unf,0,268,1142,GasA,TA,WD,Normal,134000
359,RL,92,6930,3,Pave,NA,5,4,1958,TA,Av,BLQ,300,Rec,294,468,1062,GasA,Ex,WD,Abnorml,130000
360,RL,78,12011,2,Pave,NA,8,5,1998,TA,Av,GLQ,956,Unf,0,130,1086,GasA,Ex,WD,Normal,280000
361,RL,NA,7540,3,Pave,NA,6,6,1978,TA,Av,GLQ,773,Unf,0,115,888,GasA,Ex,WD,Normal,156000
362,RL,NA,9144,4,Pave,Pave,5,5,1940,TA,No,Rec,399,Unf,0,484,883,GasA,Gd,WD,Normal,145000
363,RL,64,,2,Pave,NA,7,5,2003,NA,NA,NA,0,NA,0,0,0,GasA,Ex,ConLD,Normal,198500
364,RM,21,1680,3,Pave,NA,6,8,1972,TA,No,ALQ,162,Unf,0,321,483,GasA,Gd,WD,Normal,118000
365,RL,NA,18800,3,Pave,NA,6,5,1976,TA,Mn,GLQ,712,Unf,0,84,796,GasA,TA,WD,Normal,190000
366,RM,59,10690,3,Pave,NA,5,7,1920,Fa,No,Rec,456,Unf,0,216,672,GasA,Gd,WD,Normal,147000
367,RL,NA,9500,2,Pave,NA,6,5,1963,TA,No,BLQ,609,Unf,0,785,1394,GasA,Gd,WD,Normal,159000
368,RL,101,9150,3,Pave,NA,6,5,1962,TA,Gd,GLQ,371,Unf,0,728,1099,GasA,Gd,WD,Normal,165000
369,RL,78,7800,2,Pave,NA,5,6,1954,TA,No,LwQ,540,Unf,0,728,1268,GasA,Gd,WD,Normal,132000
370,RL,NA,9830,3,Pave,NA,5,7,1959,TA,No,ALQ,72,Rec,258,733,1063,GasA,Ex,WD,Normal,162000
371,RL,NA,8121,3,Pave,NA,6,5,2000,TA,No,Unf,0,Unf,0,953,953,GasA,Ex,WD,Normal,172400
372,RL,80,17120,4,Pave,NA,4,4,1959,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Normal,134432
373,RL,50,7175,4,Pave,NA,6,5,1984,TA,No,ALQ,623,LwQ,121,0,744,GasA,TA,WD,Normal,125000
374,RL,79,10634,3,Pave,NA,5,6,1953,TA,No,BLQ,428,LwQ,180,0,608,GasA,TA,WD,Normal,123000
375,RL,65,8200,6,Pave,NA,7,5,2003,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,WD,Normal,219500
376,RL,NA,10020,3,Pave,NA,1,1,1922,Po,Gd,BLQ,350,Unf,0,333,683,GasA,Gd,WD,Normal,61000
377,RL,57,8846,1,Pave,NA,5,5,1996,TA,Av,GLQ,298,Unf,0,572,870,GasA,Ex,WD,Normal,148000
378,FV,102,11143,3,Pave,NA,8,5,2004,TA,No,Unf,0,Unf,0,1580,1580,GasA,Ex,WD,Normal,340000
379,RL,88,11394,2,Pave,NA,9,2,2010,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,New,Partial,394432
380,RL,60,8123,3,Pave,NA,6,5,2000,TA,No,Unf,0,Unf,0,982,982,GasA,Ex,WD,Normal,179000
381,RL,50,5000,2,Pave,Pave,5,6,1924,TA,No,LwQ,218,Unf,0,808,1026,GasA,TA,WD,Normal,127000
382,FV,60,7200,4,Pave,Pave,7,5,2006,Gd,No,Unf,0,Unf,0,1293,1293,GasA,Ex,New,Partial,187750
383,RL,79,9245,3,Pave,NA,7,5,2006,TA,Av,Unf,0,Unf,0,939,939,GasA,Ex,WD,Normal,213500
384,RH,60,9000,3,Pave,NA,6,3,1928,Fa,No,Unf,0,Unf,0,784,784,GasA,TA,WD,Normal,76000
385,RL,NA,53107,4,Pave,NA,6,5,1992,TA,Av,GLQ,985,Unf,0,595,1580,GasA,Ex,WD,Normal,240000
386,RL,43,3182,3,Pave,NA,8,5,2004,TA,No,GLQ,24,Unf,0,1232,1256,GasA,Ex,WD,Normal,192000
387,RL,58,8410,4,Pave,NA,5,3,1910,TA,No,Unf,0,Unf,0,658,658,GasA,TA,WD,AdjLand,81000
388,RL,72,7200,2,Pave,NA,6,6,1976,TA,Av,ALQ,631,Unf,0,410,1041,GasA,Ex,WD,Abnorml,125000
389,RL,93,9382,2,Pave,NA,7,5,1999,TA,No,Unf,0,Unf,0,1468,1468,GasA,Ex,WD,Normal,191000
390,RL,96,12474,2,Pave,NA,10,5,2007,TA,Av,GLQ,1280,Unf,0,402,1682,GasA,Ex,New,Partial,426000
391,RL,50,8405,3,Pave,Grvl,5,8,1900,Gd,No,Rec,241,BLQ,391,229,861,GasA,Ex,WD,Normal,119000
392,RL,71,12209,3,Pave,NA,6,5,2001,TA,No,ALQ,690,Unf,0,114,804,GasA,Ex,WD,Normal,215000
393,RL,NA,8339,2,Pave,NA,5,7,1959,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Normal,106500
394,RL,NA,7446,1,Pave,NA,4,5,1941,TA,No,Rec,266,Unf,0,522,788,GasA,TA,WD,Abnorml,100000
395,RL,60,10134,2,Pave,NA,5,6,1940,TA,No,Unf,0,Unf,0,735,735,GasA,Gd,WD,Normal,109000
396,RL,68,9571,3,Pave,NA,5,6,1956,TA,Av,BLQ,739,Unf,0,405,1144,GasA,TA,WD,Normal,129000
397,RL,60,7200,4,Pave,NA,5,5,1972,TA,Av,Rec,777,Unf,0,117,894,GasA,TA,WD,Normal,123000
398,RL,69,7590,6,Pave,NA,5,5,1962,TA,No,ALQ,540,Unf,0,324,864,GasA,TA,WD,Normal,169500
399,RM,60,,4,Pave,NA,5,2,1920,Po,No,Unf,0,Unf,0,961,961,GasA,Gd,WD,Abnorml,67000
400,FV,65,8125,2,Pave,NA,7,5,2006,TA,No,GLQ,812,Unf,0,280,1092,GasA,Ex,WD,Normal,241000
401,RL,38,14963,4,Pave,NA,8,5,1996,TA,No,GLQ,786,Unf,0,474,1260,GasA,Ex,WD,Normal,245500
402,RL,65,8767,6,Pave,NA,7,5,2005,TA,Av,GLQ,24,Unf,0,1286,1310,GasA,Ex,New,Partial,164990
403,RL,60,10200,6,Pave,NA,5,8,1940,TA,No,Unf,0,Unf,0,672,672,GasA,Ex,WD,Normal,108000
404,RL,93,12090,6,Pave,NA,8,5,1998,TA,No,Unf,0,Unf,0,1141,1141,GasA,Gd,WD,Abnorml,258000
405,RL,NA,10364,1,Pave,NA,6,5,1995,TA,No,Unf,0,Unf,0,806,806,GasA,Gd,WD,Normal,168000
406,RL,NA,9991,3,Pave,NA,4,4,1976,TA,No,BLQ,1116,Unf,0,165,1281,GasA,Ex,WD,Normal,150000
407,RL,51,10480,3,Pave,NA,6,5,1936,TA,No,Unf,0,Unf,0,1064,1064,GasA,Ex,WD,Normal,115000
408,RL,63,15576,3,Pave,NA,6,7,1915,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,WD,Normal,177000
409,RL,109,14154,2,Pave,NA,7,5,2006,Gd,No,Unf,0,Unf,0,1063,1063,GasA,Ex,New,Partial,280000
410,FV,85,10800,2,Pave,NA,8,5,2007,TA,No,GLQ,789,Unf,0,245,1034,GasA,Ex,New,Partial,339750
